Заголовок,Ссылка URL,Сообщение,User ID
Добро пожаловать,https://example.com/welcome,Рады видеть вас среди наших пользователей!,1001
Скидка 10%,https://example.com/discount,Получите скидку на первый заказ!,1002
Обновление приложения,https://example.com/update,Доступна новая версия приложения.,1003
Поздравляем!,https://example.com/congrats,Вы стали участником акции!,1004
Напоминание,https://example.com/reminder,Не забудьте завершить регистрацию.,1005
Черная пятница,https://example.com/blackfriday,Успейте купить по суперцене!,1006
Новый функционал,https://example.com/features,Добавлены новые функции!,1007
Подтвердите email,https://example.com/verify,Пожалуйста, подтвердите вашу почту.,1008
Обратная связь,https://example.com/feedback,Поделитесь своим мнением о нас!,1009
Персональное предложение,https://example.com/promo,Специально для вас – уникальное предложение!,1010
